Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore
2020-08-09 08:47:59,5,1,0.92
2020-08-09 08:48:00,6,2,0.9
2020-08-09 08:48:00,5,2,0.91
2020-08-09 08:48:01,5,3,0.9
2020-08-09 08:48:01,3,1,0.95
2020-08-09 08:48:02,3,1,0.95
2020-08-09 08:48:02,4,1,0.94
2020-08-09 08:48:03,6,2,0.9
2020-08-09 08:48:03,6,3,0.89
2020-08-09 08:48:04,6,2,0.9
2020-08-09 08:48:04,6,2,0.9
2020-08-09 08:48:05,6,3,0.89
2020-08-09 08:48:05,5,2,0.91
2020-08-09 08:48:06,4,2,0.92
2020-08-09 08:48:07,4,2,0.92
2020-08-09 08:48:07,3,1,0.95
2020-08-09 08:48:08,4,1,0.94
2020-08-09 08:48:08,4,1,0.94
2020-08-09 08:48:09,3,0,0.96
2020-08-09 08:48:09,3,0,0.96
2020-08-09 08:48:10,3,0,0.96
2020-08-09 08:48:10,4,0,0.95
2020-08-09 08:48:11,3,0,0.96
2020-08-09 08:48:11,4,0,0.95
2020-08-09 08:48:12,3,0,0.96
2020-08-09 08:48:12,3,0,0.96
2020-08-09 08:48:13,6,1,0.91
2020-08-09 08:48:13,5,1,0.92
2020-08-09 08:48:14,5,1,0.92
2020-08-09 08:48:14,5,3,0.9
2020-08-09 08:48:15,5,3,0.9
2020-08-09 08:48:15,6,2,0.9
2020-08-09 08:48:16,6,2,0.9
2020-08-09 08:48:16,2,0,0.98
2020-08-09 08:48:17,3,0,0.96
2020-08-09 08:48:17,4,0,0.95
2020-08-09 08:48:18,3,0,0.96
2020-08-09 08:48:18,5,0,0.94
2020-08-09 08:48:19,5,0,0.94
2020-08-09 08:48:19,6,1,0.91
2020-08-09 08:48:20,5,1,0.92
2020-08-09 08:48:20,5,1,0.92
2020-08-09 08:48:21,6,3,0.89
2020-08-09 08:48:21,5,3,0.9
2020-08-09 08:48:22,5,2,0.91
2020-08-09 08:48:22,3,1,0.95
2020-08-09 08:48:23,3,1,0.95
2020-08-09 08:48:23,4,1,0.94
2020-08-09 08:48:24,5,1,0.92
2020-08-09 08:48:24,5,1,0.92
2020-08-09 08:48:25,5,1,0.92
2020-08-09 08:48:25,4,1,0.94
2020-08-09 08:48:26,5,2,0.91
2020-08-09 08:48:27,5,1,0.92
2020-08-09 08:48:27,5,1,0.92
2020-08-09 08:48:28,6,2,0.9
2020-08-09 08:48:28,6,1,0.91
2020-08-09 08:48:29,6,2,0.9
2020-08-09 08:48:29,4,0,0.95
2020-08-09 08:48:30,2,0,0.98
2020-08-09 08:48:30,3,0,0.96
2020-08-09 08:48:31,3,0,0.96
2020-08-09 08:48:31,4,0,0.95
2020-08-09 08:48:32,3,0,0.96
2020-08-09 08:48:32,3,0,0.96
2020-08-09 08:48:33,4,1,0.94
2020-08-09 08:48:33,6,2,0.9
2020-08-09 08:48:34,3,1,0.95
2020-08-09 08:48:34,3,1,0.95
2020-08-09 08:48:35,5,2,0.91
2020-08-09 08:48:35,3,1,0.95
2020-08-09 08:48:36,3,0,0.96
2020-08-09 08:48:36,4,1,0.94
2020-08-09 08:48:37,4,0,0.95
2020-08-09 08:48:37,4,0,0.95
2020-08-09 08:48:38,4,0,0.95
2020-08-09 08:48:38,4,0,0.95
2020-08-09 08:48:39,5,1,0.92
2020-08-09 08:48:39,4,1,0.94
2020-08-09 08:48:40,6,3,0.89
2020-08-09 08:48:40,5,2,0.91
2020-08-09 08:48:41,5,2,0.91
2020-08-09 08:48:41,5,1,0.92
2020-08-09 08:48:42,4,1,0.94
2020-08-09 08:48:42,4,1,0.94
2020-08-09 08:48:43,8,7,0.81
2020-08-09 08:48:44,6,2,0.9
2020-08-09 08:48:44,5,3,0.9
2020-08-09 08:48:45,5,3,0.9
2020-08-09 08:48:45,3,0,0.96
2020-08-09 08:48:46,4,3,0.91
2020-08-09 08:48:46,5,2,0.91
2020-08-09 08:48:47,4,1,0.94
2020-08-09 08:48:47,4,1,0.94
2020-08-09 08:48:48,4,1,0.94
2020-08-09 08:48:48,4,1,0.94
2020-08-09 08:48:49,4,1,0.94
2020-08-09 08:48:49,4,2,0.92
2020-08-09 08:48:50,2,0,0.98
2020-08-09 08:48:50,3,0,0.96
2020-08-09 08:48:51,4,1,0.94
2020-08-09 08:48:51,5,1,0.92
2020-08-09 08:48:52,5,1,0.92
2020-08-09 08:48:52,5,1,0.92
2020-08-09 08:48:53,5,2,0.91
2020-08-09 08:48:53,6,3,0.89
2020-08-09 08:48:54,6,2,0.9
2020-08-09 08:48:54,4,1,0.94
2020-08-09 08:48:55,7,5,0.85
2020-08-09 08:48:55,7,4,0.86
2020-08-09 08:48:56,7,4,0.86
2020-08-09 08:48:56,5,1,0.92
2020-08-09 08:48:57,3,0,0.96
2020-08-09 08:48:57,3,1,0.95
2020-08-09 08:48:58,5,2,0.91
2020-08-09 08:48:58,6,4,0.88
2020-08-09 08:48:59,3,1,0.95
2020-08-09 08:48:59,3,0,0.96
2020-08-09 08:49:00,2,0,0.98
2020-08-09 08:49:01,3,1,0.95
2020-08-09 08:49:01,5,3,0.9
2020-08-09 08:49:02,5,2,0.91
2020-08-09 08:49:02,2,0,0.98
2020-08-09 08:49:03,3,0,0.96
2020-08-09 08:49:03,5,3,0.9
2020-08-09 08:49:04,5,1,0.92
2020-08-09 08:49:04,5,3,0.9
2020-08-09 08:49:05,4,3,0.91
2020-08-09 08:49:05,4,1,0.94
2020-08-09 08:49:06,7,5,0.85
2020-08-09 08:49:06,5,1,0.92
2020-08-09 08:49:07,5,1,0.92
2020-08-09 08:49:07,2,0,0.98
2020-08-09 08:49:08,4,3,0.91
2020-08-09 08:49:08,4,1,0.94
2020-08-09 08:49:09,5,2,0.91
2020-08-09 08:49:09,5,1,0.92
